run_id,model_source,model_deployment,model_name,model_label,case_id,cnc_mcp_tool_name,cnc_tool_layer,session_id,status,functional_success,expected_tool_called,tool_output_status_ok,tool_output_error_detected,tool_input_events,tool_output_events,event_count,duration_ms_client,answer_chars,tool_output_chars,estimated_answer_tokens,estimated_tool_output_tokens,error,answer_preview,tool_input_preview,tool_output_preview
20260525_165836,A,Cloud,glm-5.1,glm-5.1 (Cloud),tool_data_status,tool_data_status,data,28c69aef-a907-480c-854d-877bd4a7e9a1,success,True,True,True,False,1,1,66,10877,0,2632,0,658,,,"Tool: tool_data_status
Input: {}","[{'type': 'input_text', 'text': '{\n  ""status"": ""ok"",\n  ""summary"": ""data status loaded"",\n  ""output_folder"": ""/Users/cody20179/Desktop/Code/Git_My_Project/Cody-s_Agent_Analysis/data/raw"",\n  ""key_files"": {},\n  ""metrics"": {\n    ""sensors"": [\n      {\n        ""sensor"": ""Current_A"",\n        ""exists"": true,\n        ""rows"": 59668,\n        ""start"": ""2025-09-15 15:21:00"",\n        ""end"": ""2026-05-25 16:27:29""\n      },\n      {\n        ""sensor"": ""Current_B"",\n        ""exists"": true,\n        ""rows"": 59259,\n        ""start"": ""2025-09-15 15:21:00"",\n        ""end"": ""2026-05-24 06:23:27""\n      },\n      {\n        ""sensor"": ""Current_C"",\n        ""exists"": true,\n        ""rows"": 59260,\n        "
20260525_165836,A,Cloud,glm-5.1,glm-5.1 (Cloud),tool_update_data,tool_update_data,data,7c3ec043-ae76-41e8-8807-52c8421382ea,success,True,True,True,False,1,1,34,7299,0,342,0,86,,,"Tool: tool_update_data
Input: {""sensors"":""Current_A""}","[{'type': 'input_text', 'text': '{\n  ""status"": ""ok"",\n  ""summary"": ""data update finished"",\n  ""output_folder"": ""/Users/cody20179/Desktop/Code/Git_My_Project/Cody-s_Agent_Analysis/data/raw"",\n  ""key_files"": {},\n  ""metrics"": {\n    ""Current_A"": {\n      ""added"": 6,\n      ""latest"": ""2026-05-25 16:58:28""\n    }\n  },\n  ""artifacts"": []\n}'}]"
20260525_165836,A,Cloud,glm-5.1,glm-5.1 (Cloud),tool_run_state_analysis,tool_run_state_analysis,state,08bb10ec-0239-41db-bbf5-87d24db7dec6,success,True,True,True,False,1,1,153,41214,0,17952,0,4488,,,"Tool: tool_run_state_analysis
Input: {""start"":""2026-05-01 00:00:00"",""end"":""2026-05-02 00:00:00""}","[{'type': 'input_text', 'text': '{\n  ""status"": ""ok"",\n  ""summary"": ""GMM state analysis finished"",\n  ""output_folder"": ""/Users/cody20179/Desktop/Code/Git_My_Project/Cody-s_Agent_Analysis/outputs/state"",\n  ""key_files"": {\n    ""state_labeled_csv"": ""/Users/cody20179/Desktop/Code/Git_My_Project/Cody-s_Agent_Analysis/outputs/state/state_labeled.csv"",\n    ""processed_state_labeled_csv"": ""/Users/cody20179/Desktop/Code/Git_My_Project/Cody-s_Agent_Analysis/data/processed/state_labeled.csv"",\n    ""state_report"": ""/Users/cody20179/Desktop/Code/Git_My_Project/Cody-s_Agent_Analysis/outputs/state/state_report.txt"",\n    ""state_timeline"": ""/Users/cody20179/Desktop/Code/Git_My_Project/Cody-s_Agent_Analysis"
20260525_165836,A,Cloud,glm-5.1,glm-5.1 (Cloud),tool_train_forecast,tool_train_forecast,training,82129dd2-c371-4431-a95d-b59a70e61976,success,True,True,True,False,1,1,75,11339,0,3360,0,840,,,"Tool: tool_train_forecast
Input: {""target"":""dy"",""models"":""BaselineLastWeek"",""months_back"":1}","[{'type': 'input_text', 'text': '{\n  ""status"": ""ok"",\n  ""summary"": ""forecast training finished"",\n  ""output_folder"": ""/Users/cody20179/Desktop/Code/Git_My_Project/Cody-s_Agent_Analysis/outputs/forecast"",\n  ""key_files"": {\n    ""metrics"": ""/Users/cody20179/Desktop/Code/Git_My_Project/Cody-s_Agent_Analysis/outputs/forecast/training/dy/forecast_metrics.json"",\n    ""training_data_profile"": ""/Users/cody20179/Desktop/Code/Git_My_Project/Cody-s_Agent_Analysis/outputs/forecast/training/dy/training_data_profile.json"",\n    ""training_input_y"": ""/Users/cody20179/Desktop/Code/Git_My_Project/Cody-s_Agent_Analysis/outputs/forecast/training/dy/training_input_y.png"",\n    ""training_input_dy"": ""/Users/cody2"
20260525_165836,A,Cloud,glm-5.1,glm-5.1 (Cloud),tool_forecast_future,tool_forecast_future,forecast,628eafdb-a651-4dba-8495-4aa869dca197,success,True,True,True,False,1,1,77,57621,0,1170,0,292,,,"Tool: tool_forecast_future
Input: {""days"":""7"",""model_names"":""Prophet""}","[{'type': 'input_text', 'text': '{\n  ""status"": ""ok"",\n  ""summary"": ""future forecast finished"",\n  ""output_folder"": ""/Users/cody20179/Desktop/Code/Git_My_Project/Cody-s_Agent_Analysis/outputs/forecast"",\n  ""key_files"": {\n    ""report"": ""/Users/cody20179/Desktop/Code/Git_My_Project/Cody-s_Agent_Analysis/outputs/forecast/application/dy/future_forecast_report.json"",\n    ""future_forecast"": ""/Users/cody20179/Desktop/Code/Git_My_Project/Cody-s_Agent_Analysis/outputs/forecast/application/dy/future_forecast.png"",\n    ""run_summary"": ""/Users/cody20179/Desktop/Code/Git_My_Project/Cody-s_Agent_Analysis/outputs/forecast/forecast_future_dy_run_summary.json"",\n    ""application_dir"": ""/Users/cody20179/Des"
20260525_165836,A,Cloud,glm-5.1,glm-5.1 (Cloud),tool_train_anomaly_detection,tool_train_anomaly_detection,training,55391953-cf04-48bd-a289-91abf3535524,success,True,True,True,False,1,1,120,19434,0,7874,0,1968,,,"Tool: tool_train_anomaly_detection
Input: {}","[{'type': 'input_text', 'text': '{\n  ""status"": ""ok"",\n  ""summary"": ""anomaly detection training finished"",\n  ""output_folder"": ""/Users/cody20179/Desktop/Code/Git_My_Project/Cody-s_Agent_Analysis/outputs/anomaly"",\n  ""key_files"": {\n    ""features"": ""/Users/cody20179/Desktop/Code/Git_My_Project/Cody-s_Agent_Analysis/data/processed/detection_features.csv"",\n    ""metrics"": ""/Users/cody20179/Desktop/Code/Git_My_Project/Cody-s_Agent_Analysis/outputs/anomaly/anomaly_metrics.json"",\n    ""metrics_table"": ""/Users/cody20179/Desktop/Code/Git_My_Project/Cody-s_Agent_Analysis/outputs/anomaly/tables/model_metrics.csv"",\n    ""synthetic_validation_predictions"": ""/Users/cody20179/Desktop/Code/Git_My_Project/C"
20260525_165836,A,Cloud,glm-5.1,glm-5.1 (Cloud),tool_check_anomaly,tool_check_anomaly,anomaly,47e754c9-b81f-4039-9080-d31af4cacb38,success,True,True,True,False,1,1,91,14190,0,2219,0,555,,,"Tool: tool_check_anomaly
Input: {""start"":""2026-05-01 00:00:00"",""end"":""2026-05-02 00:00:00"",""min_models"":2}","[{'type': 'input_text', 'text': '{\n  ""status"": ""ok"",\n  ""summary"": ""anomaly check finished"",\n  ""output_folder"": ""/Users/cody20179/Desktop/Code/Git_My_Project/Cody-s_Agent_Analysis/outputs/anomaly"",\n  ""key_files"": {\n    ""detail_csv"": ""/Users/cody20179/Desktop/Code/Git_My_Project/Cody-s_Agent_Analysis/outputs/anomaly/last_anomaly_check.csv"",\n    ""timeline_plot"": ""/Users/cody20179/Desktop/Code/Git_My_Project/Cody-s_Agent_Analysis/outputs/anomaly/plots/last_anomaly_check_timeline.png"",\n    ""score_plot"": ""/Users/cody20179/Desktop/Code/Git_My_Project/Cody-s_Agent_Analysis/outputs/anomaly/plots/last_anomaly_check_scores.png"",\n    ""vote_plot"": ""/Users/cody20179/Desktop/Code/Git_My_Project/Cod"
20260525_165836,A,Cloud,glm-5.1,glm-5.1 (Cloud),tool_run_all,tool_run_all,workflow,0556a552-83db-4ffc-bb95-1a79414b7173,success,True,True,True,False,1,1,134,127081,0,36504,0,9126,,,"Tool: tool_run_all
Input: {}","[{'type': 'input_text', 'text': '{\n  ""status"": ""ok"",\n  ""summary"": ""full pipeline finished"",\n  ""output_folder"": ""."",\n  ""key_files"": {},\n  ""metrics"": {\n    ""data_status"": {\n      ""status"": ""ok"",\n      ""summary"": ""data status loaded"",\n      ""output_folder"": ""/Users/cody20179/Desktop/Code/Git_My_Project/Cody-s_Agent_Analysis/data/raw"",\n      ""key_files"": {},\n      ""metrics"": {\n        ""sensors"": [\n          {\n            ""sensor"": ""Current_A"",\n            ""exists"": true,\n            ""rows"": 59674,\n            ""start"": ""2025-09-15 15:21:00"",\n            ""end"": ""2026-05-25 16:58:28""\n          },\n          {\n            ""sensor"": ""Current_B"",\n            ""exists"": true,\n     "
20260525_165836,A,Cloud,kimi-k2.6,kimi-k2.6 (Cloud),tool_data_status,tool_data_status,data,b8b25a3a-e50d-43a3-88d8-c2ab1c3eb9ac,success,True,True,True,False,1,1,210,22032,0,2632,0,658,,,"Tool: tool_data_status
Input: {}","[{'type': 'input_text', 'text': '{\n  ""status"": ""ok"",\n  ""summary"": ""data status loaded"",\n  ""output_folder"": ""/Users/cody20179/Desktop/Code/Git_My_Project/Cody-s_Agent_Analysis/data/raw"",\n  ""key_files"": {},\n  ""metrics"": {\n    ""sensors"": [\n      {\n        ""sensor"": ""Current_A"",\n        ""exists"": true,\n        ""rows"": 59674,\n        ""start"": ""2025-09-15 15:21:00"",\n        ""end"": ""2026-05-25 16:58:28""\n      },\n      {\n        ""sensor"": ""Current_B"",\n        ""exists"": true,\n        ""rows"": 59259,\n        ""start"": ""2025-09-15 15:21:00"",\n        ""end"": ""2026-05-24 06:23:27""\n      },\n      {\n        ""sensor"": ""Current_C"",\n        ""exists"": true,\n        ""rows"": 59260,\n        "
20260525_165836,A,Cloud,kimi-k2.6,kimi-k2.6 (Cloud),tool_update_data,tool_update_data,data,d692eb38-d0aa-4d4a-8469-fcd9465e296f,success,True,True,True,False,1,1,120,10853,0,342,0,86,,,"Tool: tool_update_data
Input: {""sensors"":""Current_A""}","[{'type': 'input_text', 'text': '{\n  ""status"": ""ok"",\n  ""summary"": ""data update finished"",\n  ""output_folder"": ""/Users/cody20179/Desktop/Code/Git_My_Project/Cody-s_Agent_Analysis/data/raw"",\n  ""key_files"": {},\n  ""metrics"": {\n    ""Current_A"": {\n      ""added"": 1,\n      ""latest"": ""2026-05-25 17:03:28""\n    }\n  },\n  ""artifacts"": []\n}'}]"
